model,NDCG@1,NDCG@3,Precision@1,Precision@3,Recall@1,Recall@3
GigaChat,0.7248107170499779,0.7225026419430318,0.855,0.6675,0.2604435425685426,0.7778068181818182
GigaChat-Pro,0.76262689659197,0.771144977535381,0.8975,0.76,0.2604435425685426,0.7778068181818182
